unit,sex,age,icd10,geo\time	2011 	2012 	2013 	2014 	2015 	2016 
RT,F,TOTAL,F10,AT	1.98 	1.68 	1.88 	2.12 	2.11 	1.87 
RT,F,TOTAL,F10,BE	1.51 	2.1 	2 	1.73 	2.06 	1.68 
RT,F,TOTAL,F10,BG	0.03 	0.05 	: 	0.03 	0.14 	0.03 
RT,F,TOTAL,F10,CH	1.21 	1.2 	1.61 	1.69 	1.37 	1.22 
RT,F,TOTAL,F10,CY	: 	0.32 	: 	: 	0.44 	: 
RT,F,TOTAL,F10,CZ	0.39 	0.38 	0.46 	0.52 	0.48 	0.4 
RT,F,TOTAL,F10,DE	2.49 d	2.34 d	2.74 	2.57 	2.72 	2.44 
RT,F,TOTAL,F10,DK	5.96 	5.58 	5.95 	5 	5.23 	5.64 
RT,F,TOTAL,F10,EE	3.17 	2.96 	1.41 	1.13 	1.02 	1.28 
RT,F,TOTAL,F10,EL	0.08 	: 	0.02 	0.01 	0.07 	0.06 
RT,F,TOTAL,F10,ES	0.19 	0.22 	0.13 	0.14 	0.13 	0.13 
RT,F,TOTAL,F10,EU27_2020	1.2 	1.17 	1.2 	1.16 	1.24 	1.21 
RT,F,TOTAL,F10,EU28	1.15 d	1.12 d	1.13 d	1.1 	1.18 	1.16 
RT,F,TOTAL,F10,FI	1.3 	1.35 	1.51 	1.47 	1.18 	1.41 
RT,F,TOTAL,F10,FR	1.85 	1.78 	1.51 	1.4 	1.47 	1.51 
RT,F,TOTAL,F10,HR	1.13 	1.48 d	1.33 	1.5 	1.26 	0.96 
RT,F,TOTAL,F10,HU	1.01 d	0.98 d	0.84 	1.01 	0.88 	0.94 
RT,F,TOTAL,F10,IE	0.05 	0.08 	: 	0.27 	0.34 	0.31 
RT,F,TOTAL,F10,IS	1.11 	1.42 	: 	: 	0.99 	2.02 
RT,F,TOTAL,F10,IT	0.11 	0.13 	0.14 	0.1 	0.13 	0.12 
RT,F,TOTAL,F10,LT	0.25 	0.18 	0.31 	0.16 	0.12 	0.12 
RT,F,TOTAL,F10,LU	0.42 	1.93 	1.72 	3.12 	3.56 	1.81 
RT,F,TOTAL,F10,LV	3.33 	3.87 	2.57 	2.57 	3.46 	1.34 
RT,F,TOTAL,F10,MT	0.57 	: 	: 	0.41 	: 	: 
RT,F,TOTAL,F10,NL	0.6 	0.57 	1.17 	1.07 	1.51 	1.42 
RT,F,TOTAL,F10,NO	1.32 	1.32 	1.67 	1.3 	1.12 	0.98 
RT,F,TOTAL,F10,PL	1.16 	1.15 	1.05 	1.01 	1.33 	1.86 
RT,F,TOTAL,F10,PT	0.3 	0.33 	0.18 	0.09 	0.18 	0.18 
RT,F,TOTAL,F10,RO	0.25 	0.1 	0.14 	0.4 	0.3 	0.38 
RT,F,TOTAL,F10,RS	0.31 	0.54 	0.45 	0.42 	0.46 	0.45 
RT,F,TOTAL,F10,SE	1 	0.88 	0.93 	0.96 	0.92 	0.87 
RT,F,TOTAL,F10,SI	2.13 	2.04 	3.66 	2.93 	4.2 	3.48 
RT,F,TOTAL,F10,SK	0.35 	0.52 	0.4 	0.9 	0.57 	0.69 
RT,F,TOTAL,F10,TR	0.01 d	0.03 d	0.01 d	0 d	: 	0 d
RT,F,TOTAL,F10,UK	0.74 d	0.7 d	0.56 	0.78 	0.73 	0.78 
RT,M,TOTAL,F10,AT	9.2 	10.11 	9.93 	9.28 	10.77 	10.12 
RT,M,TOTAL,F10,BE	5.41 	6.11 	6.31 	5.47 	5.62 	5.48 
RT,M,TOTAL,F10,BG	0.46 	0.58 	0.35 	0.69 	0.7 	0.69 
RT,M,TOTAL,F10,CH	5.11 	4.04 	4.25 	4.04 	4.08 	3.44 
RT,M,TOTAL,F10,CY	0.76 	0.67 	1.82 	1.56 	0.86 	0.52 
RT,M,TOTAL,F10,CZ	2.45 	2.41 	2.2 	1.85 	2.14 	2.22 
RT,M,TOTAL,F10,DE	9.13 d	9.3 d	10.03 	9.37 	10.02 	10.06 
RT,M,TOTAL,F10,DK	19.72 	20.69 	19.47 	18.42 	19.76 	17.73 
RT,M,TOTAL,F10,EE	12.43 	13.83 	9.33 	8.66 	9.82 	9.21 
RT,M,TOTAL,F10,EL	0.47 	0.42 	0.23 	0.23 	0.56 	0.43 
RT,M,TOTAL,F10,ES	1.2 	1.18 	1.1 	1.1 	1.16 	1 
RT,M,TOTAL,F10,EU27_2020	5.37 	5.32 	5.33 	5.2 	5.62 	5.83 
RT,M,TOTAL,F10,EU28	4.96 d	4.9 d	4.92 d	4.74 	5.18 	5.37 
RT,M,TOTAL,F10,FI	5.25 	6.39 	6.34 	7.43 	6.59 	6.93 
